"structure_taxonomy_npclassifier_01pathway" "structure_taxonomy_npclassifier_02superclass" "structure_taxonomy_npclassifier_03class"
"133" "Alkaloids" "Tetramate alkaloids" "Pyrazine and Piperazine alkaloids"
"134" "Alkaloids" "Proline alkaloids" "Pyrrole alkaloids"
"135" "Alkaloids" "Proline alkaloids" NA
"136" "Polyketides" "Cyclic polyketides" "4-pyrone derivatives"
"137" "Terpenoids" "Monoterpenoids" "Iridoids monoterpenoids"
"138" "Alkaloids" "Lysine alkaloids" NA
"139" "Polyketides" "Meroterpenoids" "Cannabinoids"
"140" "Terpenoids" "Sesquiterpenoids" "Caryolane sesquiterpenoids"
"141" "Alkaloids" "Histidine alkaloids" "Imidazole alkaloids"
"142" "Terpenoids" "Apocarotenoids" "Apocarotenoids(ε-)"
"143" "Terpenoids" "Triterpenoids" "Friedelane triterpenoids"
"144" "Shikimates and Phenylpropanoids" "Stilbenoids" "Monomeric stilbenes"
"145" "Terpenoids" "Sesquiterpenoids" "Longifolane sesquiterpenoids"
"146" "Alkaloids" "Tyrosine alkaloids" "Amarylidaceae alkaloids"
"147" "Terpenoids" "Meroterpenoids" "Miscellaneous meroterpenoids"
"148" "Terpenoids" "Sesquiterpenoids" "Santalane sesquiterpenoids"
"149" "Alkaloids" "Pseudoalkaloids" "Phenylalanine-derived alkaloids"
"150" "Polyketides" "Aromatic polyketides" "Usnic acid and derivatives"
"151" "Terpenoids" "Sesterterpenoids" "Scalarane sesterterpenoids"
"152" "Polyketides" "Aromatic polyketides" "Depsides"
"153" "Polyketides" "Aromatic polyketides" "Catechols with side chains"
"154" "Alkaloids" "Pseudoalkaloids" "Terpenoid alkaloids"
"155" "Shikimates and Phenylpropanoids" "Lignans" "Furanoid lignans"
"156" "Shikimates and Phenylpropanoids" "Lignans" "Neolignans"
"157" "Terpenoids" "Steroids" "Furostane steroids"
"158" "Terpenoids" "Sesquiterpenoids" "Daucane sesquiterpenoids"
"159" "Polyketides" "Phloroglucinols" "Acyl phloroglucinols"
"160" "Terpenoids" "Diterpenoids" "Lobane diterpenoids"
"161" "Terpenoids" "Steroids" "Androstane steroids"
"162" "Alkaloids" "Pseudoalkaloids" "Steroidal alkaloids"
"163" "Terpenoids" "Diterpenoids" "Cembrane diterpenoids"
"164" "Alkaloids" "Lysine alkaloids" "Quinolizidine alkaloids"
"165" "Fatty acids" "Octadecanoids" "Other Octadecanoids"
"166" "Terpenoids" "Diterpenoids" "Abietane diterpenoids"
"167" "Terpenoids" "Steroids" "Vitamin D3 and derivatives"
"168" "Fatty acids" "Sphingolipids" "Ceramides"
"169" "Polyketides" "Naphthalenes" "Naphthoquinones"
"170" "Terpenoids" "Sesquiterpenoids" "Laurane sesquiterpenoids"
"171" "Alkaloids" "Tryptophan alkaloids" "Pyrroloquinoline alkaloids"
"172" "Terpenoids" "Diterpenoids" "Dolabellane diterpenoids"
"173" "Shikimates and Phenylpropanoids" "Isoflavonoids" "Isoflavones"
"174" "Terpenoids" "Sesquiterpenoids" "Aristolane sesquiterpenoids"
"175" "Terpenoids" "Triterpenoids" "Limonoids"
"176" "Terpenoids" "Carotenoids (C40)" NA
"177" "Terpenoids" "Steroids" "Cholane steroids"
"178" "Fatty acids" "Fatty esters" "Fatty acyl CoAs"
"179" "Fatty acids" "Fatty esters" "Fatty acyl carnitines"
"180" "Fatty acids" "Eicosanoids" "Prostaglandins"
"181" "Fatty acids" "Eicosanoids" "Leukotrienes"
"182" "Fatty acids" "Sphingolipids" "Neutral glycosphingolipids"
"183" "Polyketides" "Chromanes" "Aflatoxins"
"184" "Fatty acids" "Eicosanoids" "Thromboxanes"
"185" "Terpenoids" "Meroterpenoids" "Meromonoterpenoids"
"186" "Terpenoids" "Polyprenols" "Bactoprenols"
"187" "Fatty acids" "Sphingolipids" "Sphingoid bases"
"188" "Fatty acids" "Fatty Acids and Conjugates" "Thia fatty acids"
"189" "Fatty acids" "Eicosanoids" "Isoprostanes"
"190" "Fatty acids" "Eicosanoids" "Hydroxy-hydroperoxyeicosatetraenoic acids"
"191" "Fatty acids" "Eicosanoids" "Epoxyeicosatrienoic acids"
"192" "Fatty acids" "Eicosanoids" "Hepoxilins"
"193" "Alkaloids" "Pseudoalkaloids" NA
"194" "Alkaloids" "Anthranilic acid alkaloids" "Acridone alkaloids"
"195" "Alkaloids" "Ornithine alkaloids" "Tropane alkaloids"
"196" "Fatty acids" "Docosanoids" "Other Docosanoids"
"197" "Alkaloids" "Tryptophan alkaloids" NA
"198" "Fatty acids" "Glycerophospholipids" "Glycerophosphocholines"
"199" "Alkaloids" "Nicotinic acid alkaloids" NA
"200" "Terpenoids" "Diterpenoids" "Taxane diterpenoids"
"201" "Carbohydrates" "Nucleosides" NA
"202" "Fatty acids" "Fatty Acids and Conjugates" "Epoxy fatty acids"
"203" "Fatty acids" "Eicosanoids" "Lipoxins"
"204" "Polyketides" "Cyclic polyketides" "Phthalide derivatives"
"205" "Alkaloids" "Lysine alkaloids" "Indolizidine alkaloids"
"206" "Carbohydrates" "Saccharides" "Polysaccharides"
"207" "Fatty acids" "Glycerolipids" "Glycosylmonoacylglycerols"
"208" "Alkaloids" "Tyrosine alkaloids" "Isoquinoline alkaloids"
"209" "Alkaloids" "Tyrosine alkaloids" "Betalain alkaloids"
"210" "Shikimates and Phenylpropanoids" "Diphenyl ethers (DPEs)" "Marine-bacterial DPEs"
"211" "Shikimates and Phenylpropanoids" "Coumarins" "Pyranocoumarins"
"212" "Alkaloids" "Anthranilic acid alkaloids" "Benzodiazepine alkaloids"
"213" "Polyketides" "Linear polyketides" NA
"214" "Terpenoids" "Sesquiterpenoids" "Acorane sesquiterpenoids"
"215" "Fatty acids" "Fatty Acids and Conjugates" "Carbocyclic fatty acids"
"216" "Terpenoids" "Sesquiterpenoids" "Spirovetivane sesquiterpenoids"
"217" "Terpenoids" "Diterpenoids" "Norpimarane and Norisopimarane diterpenoids"
"218" "Terpenoids" "Sesquiterpenoids" "Drimane sesquiterpenoids"
"219" "Terpenoids" "Sesquiterpenoids" "Bicyclogermacrane sesquiterpenoids"
"220" "Terpenoids" "Sesquiterpenoids" "Isodaucane sesquiterpenoids"
"221" "Terpenoids" "Sesquiterpenoids" "Iphionane sesquiterpenoids"
"222" "Terpenoids" "Sesquiterpenoids" "Thujopsane sesquiterpenoids"
"223" "Polyketides" "Naphthalenes" "Naphthalenes and derivatives"
"224" "Shikimates and Phenylpropanoids" "Flavonoids" "Anthocyanidins"
"225" "Terpenoids" "Apocarotenoids" "Megastigmanes"
"226" "Terpenoids" "Sesquiterpenoids" "Sativane sesquiterpenoids"
"227" "Terpenoids" "Sesquiterpenoids" "Longipinane sesquiterpenoids"
"228" "Shikimates and Phenylpropanoids" "Isoflavonoids" NA
"229" "Polyketides" "Aromatic polyketides" "Simple aromatic polyketides"
"230" "Fatty acids" "Fatty esters" "Wax diesters"
"231" "Shikimates and Phenylpropanoids" "Coumarins" "Isocoumarins"
"232" "Shikimates and Phenylpropanoids" "Phenolic acids (C6-C1)" NA
"233" "Terpenoids" "Sesquiterpenoids" "Cuparane sesquiterpenoids"
"234" "Terpenoids" "Sesquiterpenoids" "Silphinane sesquiterpenoids"
"235" "Terpenoids" "Sesquiterpenoids" "Cycloeudesmane sesquiterpenoids"
"236" "Terpenoids" "Sesquiterpenoids" "Arteminisin"
"237" "Terpenoids" "Sesquiterpenoids" "Isocomane sesquiterpenoids"
"238" "Fatty acids" "Fatty Acids and Conjugates" "Amino fatty acids"
"239" "Shikimates and Phenylpropanoids" "Phenolic acids (C6-C1)" "Gallotannins"
"240" "Polyketides" "Miscellaneous polyketides" "Miscellaneous polyketides"
"241" "Shikimates and Phenylpropanoids" "Flavonoids" "Flavan-3-ols"
"242" "Terpenoids" "Sesquiterpenoids" "Carabrane sesquiterpenoids"
"243" "Shikimates and Phenylpropanoids" "Flavonoids" "Dihydroflavonols"
"244" "Polyketides" "Phloroglucinols" "Oligomeric phloroglucinols (phlorotannins)"
"245" "Shikimates and Phenylpropanoids" "Diarylheptanoids" "Linear diarylheptanoids"
"246" "Amino acids and Peptides" "Phenylpropanoids (C6-C3)" "Cinnamic acid amides"
"247" "Amino acids and Peptides" "Oligopeptides" "Cyclic peptides"
"248" "Terpenoids" "Diterpenoids" "Podocarpane diterpenoids"
"249" "Shikimates and Phenylpropanoids" "Flavonoids" NA
"250" "Shikimates and Phenylpropanoids" "Flavonoids" "Proanthocyanins"
"251" "Polyketides" "Aromatic polyketides" "Benzoquinones"
"252" "Polyketides" "Aromatic polyketides" NA
"253" "Shikimates and Phenylpropanoids" "Isoflavonoids" "Pterocarpan"
"254" "Shikimates and Phenylpropanoids" "Isoflavonoids" "2-arylbenzofurans"
"255" "Shikimates and Phenylpropanoids" "Stilbenoids" "Oligomeric stibenes"
"256" "Shikimates and Phenylpropanoids" "Lignans" NA
"257" "Shikimates and Phenylpropanoids" "Stilbenoids" "Stilbenolignans"
"258" "Alkaloids" "Anthranilic acid alkaloids" NA
"259" "Fatty acids" "Fatty acyl glycosides" "Fatty acyl glycosides of mono- and disaccharides"
"260" "Fatty acids" "Glycerolipids" "Diacylglycerols"
"261" "Terpenoids" "Diterpenoids" "Gibberellins"
"262" "Shikimates and Phenylpropanoids" "Lignans" "Dibenzylbutane lignans"
"263" "Shikimates and Phenylpropanoids" "Isoflavonoids" "Coumestan"
"264" "Shikimates and Phenylpropanoids" "Coumarins" "Coumarinolignans"
"265" "Shikimates and Phenylpropanoids" "Lignans" "Minor lignans"
"266" "Terpenoids" "Sesquiterpenoids" "Picrotoxane sesquiterpenoids"
"267" "Alkaloids" "Tryptophan alkaloids" "Carbazole alkaloids"
"268" "Terpenoids" "Diterpenoids" "Norkaurane diterpenoids"
"269" "Alkaloids" "Tyrosine alkaloids" NA
"270" "Terpenoids" "Sesquiterpenoids" "Agarofuran sesquiterpenoids"
"271" "Terpenoids" "Monoterpenoids" "Secoiridoid monoterpenoids"
"272" "Shikimates and Phenylpropanoids" "Xanthones" "Plant xanthones"
"273" "Polyketides" "Xanthones" "Methyl xanthones"
"274" "Alkaloids" "Tyrosine alkaloids" "Phenethylisoquinoline alkaloids"
"275" "Terpenoids" "Triterpenoids" "Glutinane triterpenoids"
"276" "Polyketides" "Linear polyketides" "Open-chain polyketides"
"277" "Alkaloids" "Peptide alkaloids" "Simple amide alkaloids"
"278" "Shikimates and Phenylpropanoids" "Isoflavonoids" "Isoflavanones"
"279" "Terpenoids" "Sesquiterpenoids" "Clovane sesquiterpenoids"
"280" "Terpenoids" "Sesquiterpenoids" "Fukinane sesquiterpenoids"
"281" "Alkaloids" "Peptide alkaloids" "Other indole diketopiperazine alkaloids"
"282" "Polyketides" "Meroterpenoids" NA
"283" "Terpenoids" "Triterpenoids" "Fusidane triterpenoids"
"284" "Polyketides" "Macrolides" "Ansa macrolides"
"285" "Polyketides" "Polycyclic aromatic polyketides" "Tetracyclines"
"286" "Polyketides" "Polycyclic aromatic polyketides" "Anthracyclines"
"287" "Alkaloids" "Serine alkaloids" "Thiazole alkaloids"
"288" "Alkaloids" "Anthranilic acid alkaloids" "Anthranillic acid derivatives"
"289" "Amino acids and Peptides" "Amino acid glycosides" "Cyanogenic glycosides"
"290" "Terpenoids" "Sesquiterpenoids" "Gymnomitrane sesquiterpenoids"
"291" "Terpenoids" "Diterpenoids" "Fusicoccane diterpenoids"
"292" "Fatty acids" "Glycerophospholipids" "Glycerophosphoethanolamines"
"293" "Terpenoids" "Triterpenoids" "Cucurbitane triterpenoids"
"294" "Shikimates and Phenylpropanoids" "Isoflavonoids" "Rotenoids"
"295" "Fatty acids" "Docosanoids" "Resolvin Ds"
"296" "Fatty acids" "Eicosanoids" "Hydroxy-hydroperoxyeicosapentaenoic acids"
"297" "Fatty acids" "Sphingolipids" "Acidic glycosphingolipids"
"298" "Terpenoids" "Sesquiterpenoids" "Valerenane sesquiterpenoids"
"299" "Fatty acids" "Eicosanoids" "Other Eicosanoids"
"300" "Amino acids and Peptides" "β-lactams" "Cephalosporins"
"301" "Fatty acids" "Glycerophospholipids" "Glycerophosphoserines"
"302" "Fatty acids" "Glycerophospholipids" "Glycerophosphoinositols"
"303" "Fatty acids" "Glycerophospholipids" "Glycerophosphoglycerols"
"304" "Amino acids and Peptides" "β-lactams" "Penicillins"
"305" "Polyketides" "Macrolides" "Tylosins"
"306" "Terpenoids" "Triterpenoids" "Onocerane triterpenoids"
"307" "Fatty acids" "Fatty esters" "Fatty acid estolides"
"308" "Amino acids and Peptides" "Amino acid glycosides" "Glucosinolates"
"309" "Alkaloids" "Tryptophan alkaloids" "Ergot alkaloids"
"310" "Alkaloids" "Mitomycin derivatives" "Mitomycins"
"311" "Carbohydrates" "Polyols" "Amino cyclitols"
"312" "Fatty acids" "Glycerophospholipids" "Glycerophosphoinositol phosphates"
"313" "Amino acids and Peptides" "β-lactams" "Cephamycins"
"314" "Terpenoids" "Sesquiterpenoids" "Rotundane sesquiterpenoids"
"315" "Amino acids and Peptides" "Oligopeptides" "RiPPs-Lasso peptides"
"316" "Terpenoids" "Diterpenoids" "Colensane and Clerodane diterpenoids"
"317" "Terpenoids" "Diterpenoids" "Halimane diterpenoids"
"318" "Terpenoids" "Sesquiterpenoids" "Oplopane sesquiterpenoids"
"319" "Terpenoids" "Triterpenoids" "Quassinoids"
"320" "Polyketides" "Chromanes" NA
"321" "Terpenoids" "Sesquiterpenoids" "Valerane sesquiterpenoids"
"322" "Fatty acids" "Fatty amides" "N-acyl amines"
"323" "Polyketides" "Aromatic polyketides" "Benzophenones"
"324" "Terpenoids" "Diterpenoids" "Secoabietane diterpenoids"
"325" "Alkaloids" "Tyrosine alkaloids" "Protoberberine alkaloids"
"326" "Alkaloids" "Tryptophan alkaloids" "Yohimbine-like alkaloids"
"327" "Alkaloids" "Ornithine alkaloids" "Pyrrolizidine alkaloids"
"328" "Alkaloids" "Tryptophan alkaloids" "Pyrroloindole alkaloids"
"329" "Alkaloids" "Peptide alkaloids" "Ansa peptide alkaloids"
"330" "Alkaloids" "Ornithine alkaloids" NA
"331" "Alkaloids" "Tryptophan alkaloids" "Strychnos type"
"332" "Alkaloids" "Tryptophan alkaloids" "Aspidosperma-Iboga hybrid type (Vinca alkaloids)"
"333" "Terpenoids" "Diterpenoids" "Cassane diterpenoids"
"334" "Alkaloids" "Ornithine alkaloids" "Pyrrolidine alkaloids"
"335" "Terpenoids" "Diterpenoids" "Cyclophytane diterpenoids"
"336" "Alkaloids" "Tyrosine alkaloids" "Tetrahydroisoquinoline alkaloids"
"337" "Fatty acids" "Fatty Acids and Conjugates" "Methoxy fatty acids"
"338" "Amino acids and Peptides" "Small peptides" "Tripeptides"
"339" "Terpenoids" "Sesquiterpenoids" "Prezizaane sesquiterpenoids"
"340" "Shikimates and Phenylpropanoids" "Flavonoids" "Aurones"
"341" "Alkaloids" "Pseudoalkaloids" "Capsaicins and Capsaicinoids"
"342" "Terpenoids" "Diterpenoids" "Myrsinane diterpenoids"
"343" "Polyketides" "Phloroglucinols" "Dimeric phloroglucinols"
"344" "Polyketides" "Cyclic polyketides" "2-pyrone derivatives"
"345" "Shikimates and Phenylpropanoids" "Phenylethanoids (C6-C2)" NA
"346" "Shikimates and Phenylpropanoids" "Terphenyls" "p-Terphenyls"
"347" "Shikimates and Phenylpropanoids" "Flavonoids" "Flavans"
"348" "Shikimates and Phenylpropanoids" "Phenylpropanoids (C6-C3)" "Cinnamoyl phenols"
"349" "Polyketides" "Meroterpenoids" "Polyprenylated cyclic polyketides (Hop meroterpenoids)"
"350" "Terpenoids" "Monoterpenoids" "Irregular monoterpenoids"
"351" "Alkaloids" "Tryptophan alkaloids" "Aspidosperma type"
"352" "Terpenoids" "Diterpenoids" "Beyerane diterpenoids"
"353" "Terpenoids" "Diterpenoids" "Nagilactone diterpenoids"
"354" "Terpenoids" "Sesquiterpenoids" "Botryane sesquiterpenoids"
"355" "Terpenoids" "Sesquiterpenoids" "Pseudoguaiane sesquiterpenoids"
"356" "Polyketides" "Linear polyketides" "Acetogenins"
"357" "Polyketides" "Aromatic polyketides" "Depsidones"
"358" "Shikimates and Phenylpropanoids" "Flavonoids" "Flavandiols (Leucoanthocyanidins)"
"359" "Polyketides" "Cyclic polyketides" "Monacolins and Monacolin derivatives"
"360" "Polyketides" "Macrolides" "Zearalenones"
"361" "Polyketides" "Aromatic polyketides" "Griseofulvins"
"362" "Amino acids and Peptides" "β-lactams" NA
"363" "Amino acids and Peptides" "Oligopeptides" "Depsipeptides"
"364" "Amino acids and Peptides" "Linear polyketides" "Melithiazole and Myxothiazole derivatives"
"365" "Amino acids and Peptides" "β-lactams" "Carbapenems"
"366" "Terpenoids" "Sesterterpenoids" "Ophiobolane sesterterpenoids"
"367" "Polyketides" "Macrolides" "Erythromycins"
"368" "Polyketides" "Polycyclic aromatic polyketides" "Angucyclines"
"369" "Polyketides" "Linear polyketides" "3-oligoenoyltetramic acids"
"370" "Terpenoids" "Apocarotenoids" "Miscellaneous apocarotenoids"
"371" "Alkaloids" "Tyrosine alkaloids" "Cephalotaxus alkaloids"
"372" "Alkaloids" "Guanidine alkaloids" "Saxitoxins"
"373" "Alkaloids" "Peptide alkaloids" "Indole diketopiperazine alkaloids (L-Trp, L-Pro)"
"374" "Polyketides" "Polyethers" "Polyether ionophores"
"375" "Polyketides" "Macrolides" "Aplysiatoxins"
"376" "Polyketides" "Linear polyketides" "Linear polyenes"
"377" "Amino acids and Peptides" "β-lactams" "Monocyclic β-lactams"
"378" "Alkaloids" "Tyrosine alkaloids" "Acutumine alkaloids"
"379" "Alkaloids" "Guanidine alkaloids" NA
"380" "Terpenoids" "Diterpenoids" "Grayanotoxane diterpenoids"
"381" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, β-Ψ)"
"382" "Terpenoids" "Diterpenoids" "Daphnane diterpenoids"
"383" "Polyketides" "Polyethers" "Ladder polyethers"
"384" "Polyketides" "Macrolides" "Oligomycins"
"385" "Terpenoids" "Sesquiterpenoids" "Trichothecane sesquiterpenoids"
"386" "Polyketides" "Macrolides" "Ascomycins and Rapamycins"
"387" "Alkaloids" "Tyrosine alkaloids" "Terpenoid tetrahydroisoquinoline alkaloids"
"388" "Polyketides" "Macrolides" NA
"389" "Amino acids and Peptides" "Macrolides" "Epothilones"
"390" "Fatty acids" "Glycerophospholipids" "Oxidized glycerophospholipids"
"391" "Alkaloids" "Tryptophan alkaloids" "Iboga type"
"392" "Terpenoids" "Diterpenoids" "Spongiane diterpenoids"
